game_pk,at_bat_number,batter,description,des,first_pitch_events,events
745118,8,678877,hit_into_play,"Jhonkensy Noel grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",field_out,field_out
745118,7,647304,ball,Josh Naylor grounds out to first baseman Paul Goldschmidt.,,field_out
745118,3,608070,ball,José Ramírez flies out to right fielder Jordan Walker.,,field_out
745118,2,682177,foul,Daniel Schneemann walks.,,walk
745118,1,682657,called_strike,"Angel Martínez grounds out, shortstop Masyn Winn to first baseman Paul Goldschmidt.",,field_out
745124,75,681807,swinging_strike,David Fry strikes out swinging.,,strikeout
745124,74,682657,called_strike,"Angel Martínez strikes out swinging, catcher Iván Herrera to first baseman Paul Goldschmidt.",,strikeout
745124,73,677587,swinging_strike,Brayan Rocchio strikes out swinging.,,strikeout
745124,69,666310,blocked_ball,Bo Naylor strikes out swinging.,,strikeout
745124,67,665926,blocked_ball,Andrés Giménez doubles (22) on a ground ball to right fielder Jordan Walker.   Lane Thomas scores.,,double
745124,66,657041,called_strike,Lane Thomas walks.,,walk
745124,65,647304,called_strike,"Josh Naylor grounds out, second baseman Thomas Saggese to first baseman Paul Goldschmidt.",,field_out
745124,64,608070,called_strike,José Ramírez homers (37) on a fly ball to left field.   Angel Martínez scores.    David Fry scores.,,home_run
745124,63,681807,hit_into_play,David Fry singles on a sharp line drive to center fielder Michael Siani.   Angel Martínez to 2nd.,single,single
745124,62,682657,called_strike,"Angel Martínez singles on a ground ball to center fielder Michael Siani, deflected by second baseman Thomas Saggese.",,single
745124,54,677587,ball,"Brayan Rocchio grounds out, first baseman Paul Goldschmidt to pitcher Andrew Kittredge.",,field_out
745124,53,666310,called_strike,Bo Naylor pops out to shortstop Masyn Winn.,,field_out
745124,52,686823,foul,Will Brennan singles on a ground ball to right fielder Jordan Walker.   Andrés Giménez to 3rd.,,single
745124,51,665926,hit_into_play,Andrés Giménez singles on a line drive to right fielder Jordan Walker.,single,single
745124,50,657041,called_strike,Lane Thomas called out on strikes.,,strikeout
745124,45,647304,ball,Josh Naylor flies out sharply to right fielder Jordan Walker.,,field_out
745124,44,608070,foul,José Ramírez pops out to third baseman Nolan Arenado in foul territory.,,field_out
745124,43,700932,called_strike,Kyle Manzardo grounds out to first baseman Paul Goldschmidt.,,field_out
745124,38,682657,called_strike,Angel Martínez strikes out swinging.,,strikeout
745124,37,677587,foul,Brayan Rocchio strikes out swinging.,,strikeout
745124,36,666310,ball,Bo Naylor homers (13) on a fly ball to right center field.,,home_run
745124,35,678877,called_strike,"Jhonkensy Noel grounds out, shortstop Masyn Winn to first baseman Paul Goldschmidt.",,field_out
745124,28,665926,ball,"Andrés Giménez grounds out, second baseman Thomas Saggese to first baseman Paul Goldschmidt.",,field_out
745124,27,657041,foul,"Lane Thomas grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",,field_out
745124,26,647304,called_strike,Josh Naylor pops out to shortstop Masyn Winn.,,field_out
745124,25,608070,called_strike,José Ramírez doubles (36) on a ground ball to right fielder Jordan Walker.,,double
745124,19,700932,swinging_strike,"Kyle Manzardo grounds out, second baseman Thomas Saggese to first baseman Paul Goldschmidt.",,field_out
745124,18,682657,foul,Angel Martínez flies out to right fielder Jordan Walker.,,field_out
745124,17,677587,called_strike,"Brayan Rocchio reaches on a missed catch error by pitcher Miles Mikolas, assist to second baseman Thomas Saggese.",,field_error
745124,16,666310,called_strike,Bo Naylor flies out to center fielder Michael Siani.,,field_out
745124,11,678877,ball,Jhonkensy Noel called out on strikes.,,strikeout
745124,10,665926,foul,"Andrés Giménez singles on a ground ball to right fielder Jordan Walker.  Lane Thomas out at home, shortstop Masyn Winn to catcher Iván Herrera.",,single
745124,9,657041,called_strike,Lane Thomas singles on a line drive to center fielder Michael Siani.,,single
745124,8,647304,ball,Josh Naylor lines out sharply to shortstop Masyn Winn.,,field_out
745124,3,608070,called_strike,José Ramírez flies out to center fielder Michael Siani.,,field_out
745124,2,700932,called_strike,Kyle Manzardo called out on strikes.,,strikeout
745124,1,682657,hit_into_play,Angel Martínez flies out to center fielder Michael Siani.,field_out,field_out
745123,70,681807,hit_into_play,David Fry flies out to center fielder Lars Nootbaar.,field_out,field_out
745123,69,682657,ball,"Angel Martínez grounds out, pitcher Steven Matz to second baseman Brendan Donovan to first baseman Paul Goldschmidt.",,field_out
745123,68,682177,called_strike,Daniel Schneemann strikes out on a foul tip.,,strikeout
745123,62,666310,ball,"Bo Naylor grounds out, pitcher Steven Matz to first baseman Paul Goldschmidt.",,field_out
745123,61,686823,called_strike,"Will Brennan grounds out, third baseman Thomas Saggese to first baseman Paul Goldschmidt.",,field_out
745123,60,665926,called_strike,"Andrés Giménez grounds out, shortstop Masyn Winn to first baseman Paul Goldschmidt.",,field_out
745123,59,657041,called_strike,Lane Thomas homers (14) on a fly ball to left field.,,home_run
745123,53,647304,ball,"Josh Naylor grounds out, pitcher Steven Matz to first baseman Paul Goldschmidt.",,field_out
745123,52,608070,called_strike,José Ramírez singles on a line drive to left fielder Alec Burleson.   Angel Martínez to 2nd.,,single
745123,51,681807,foul,David Fry lines out to center fielder Lars Nootbaar.,,field_out
745123,50,682657,ball,Angel Martínez walks.,,walk
745123,46,682177,called_strike,Daniel Schneemann called out on strikes.,,strikeout
745123,45,666310,called_strike,Bo Naylor flies out to left fielder Alec Burleson.,,field_out
745123,44,686823,ball,Will Brennan lines out to center fielder Lars Nootbaar.,,field_out
745123,43,665926,ball,Andrés Giménez homers (9) on a fly ball to right field.,,home_run
745123,39,657041,foul,"Lane Thomas grounds out, third baseman Thomas Saggese to first baseman Paul Goldschmidt.",,field_out
745123,38,647304,ball,Josh Naylor flies out to center fielder Lars Nootbaar.,,field_out
745123,37,608070,foul,José Ramírez homers (36) on a line drive to right field.,,home_run
745123,36,700932,called_strike,Kyle Manzardo strikes out swinging.,,strikeout
745123,29,682657,hit_into_play,Angel Martínez flies out to left fielder Alec Burleson.,field_out,field_out
745123,28,682177,hit_into_play,Daniel Schneemann singles on a line drive to right fielder Jordan Walker.   Bo Naylor scores.,single,single
745123,27,666310,called_strike,"Bo Naylor singles on a soft ground ball to third baseman Thomas Saggese.   Bo Naylor to 2nd.  Bo Naylor advances to 2nd, on a throwing error by third baseman Thomas Saggese.",,single
745123,26,686823,called_strike,Will Brennan lines out to shortstop Masyn Winn.,,field_out
745123,25,665926,hit_into_play,"Andrés Giménez grounds out, shortstop Masyn Winn to first baseman Paul Goldschmidt.",field_out,field_out
745123,20,657041,called_strike,Lane Thomas flies out to shortstop Masyn Winn.,,field_out
745123,19,647304,ball,Josh Naylor walks.,,walk
745123,18,608070,ball,José Ramírez singles on a line drive to right fielder Jordan Walker.   Daniel Schneemann scores.    Angel Martínez to 3rd.    José Ramírez to 2nd.,,single
745123,17,700932,hit_into_play,Kyle Manzardo lines out to second baseman Brendan Donovan.,field_out,field_out
745123,16,682657,called_strike,Angel Martínez singles on a ground ball to center fielder Lars Nootbaar.   Daniel Schneemann to 3rd.,,single
745123,15,682177,ball,Daniel Schneemann walks.,,walk
745123,14,666310,ball,"Bo Naylor grounds out, second baseman Brendan Donovan to first baseman Paul Goldschmidt.",,field_out
745123,10,686823,ball,"Will Brennan grounds out, third baseman Thomas Saggese to first baseman Paul Goldschmidt.",,field_out
745123,9,665926,ball,"Andrés Giménez grounds out, first baseman Paul Goldschmidt to pitcher Kyle Gibson.",,field_out
745123,8,657041,ball,Lane Thomas flies out sharply to center fielder Lars Nootbaar.,,field_out
745123,4,647304,ball,"Josh Naylor grounds out, shortstop Masyn Winn to first baseman Paul Goldschmidt.",,field_out
745123,3,608070,ball,José Ramírez pops out to second baseman Brendan Donovan in foul territory.,,field_out
745123,2,700932,ball,Kyle Manzardo walks.,,walk
745123,1,682657,hit_into_play,Angel Martínez flies out to second baseman Brendan Donovan.,field_out,field_out
746579,81,665926,ball,Andrés Giménez singles on a sharp ground ball to right fielder Matt Wallner.   José Ramírez scores.    Lane Thomas to 2nd.,,single
746579,79,647304,ball,Josh Naylor strikes out on a foul tip.,,strikeout
746579,73,608070,ball,José Ramírez grounds out to first baseman Carlos Santana.,,field_out
746579,72,682177,ball,Daniel Schneemann called out on strikes.,,strikeout
746579,71,682657,called_strike,Angel Martínez strikes out swinging.,,strikeout
746579,67,666310,ball,Bo Naylor strikes out swinging.,,strikeout
746579,66,677587,foul,Brayan Rocchio flies out to left fielder Manuel Margot in foul territory.,,field_out
746579,65,678877,ball,Jhonkensy Noel walks.,,walk
746579,64,665926,called_strike,"Andrés Giménez grounds out, third baseman Royce Lewis to first baseman Carlos Santana.",,field_out
746579,60,657041,foul,Lane Thomas pops out to catcher Ryan Jeffers in foul territory.,,field_out
746579,59,647304,ball,Josh Naylor flies out to left fielder Manuel Margot.,,field_out
746579,58,608070,swinging_strike,José Ramírez walks.   David Fry to 2nd.,,walk
746579,57,681807,hit_into_play,David Fry singles on a line drive to right fielder Matt Wallner.,single,single
746579,56,682657,called_strike,"Angel Martínez grounds out, second baseman Kyle Farmer to first baseman Carlos Santana.",,field_out
746579,52,595978,foul,Austin Hedges strikes out swinging.,,strikeout
746579,51,677587,foul,Brayan Rocchio out on a sacrifice fly to center fielder Byron Buxton.   Josh Naylor scores.    Andrés Giménez to 3rd.,,sac_fly
746579,50,678877,ball,Jhonkensy Noel singles on a line drive to left fielder Manuel Margot.   Josh Naylor to 3rd.    Andrés Giménez to 2nd.,,single
746579,49,665926,hit_into_play,Andrés Giménez singles on a ground ball to shortstop Willi Castro.   Josh Naylor to 2nd.,single,single
746579,48,657041,ball,Lane Thomas called out on strikes.,,strikeout
746579,47,647304,ball,Josh Naylor singles on a ground ball to right fielder Matt Wallner.,,single
746579,43,608070,called_strike,"José Ramírez grounds out, pitcher Cole Irvin to first baseman Carlos Santana.",,field_out
746579,42,700932,called_strike,Kyle Manzardo singles on a soft ground ball to third baseman Royce Lewis.   Brayan Rocchio to 2nd.,,single
746579,41,682657,swinging_strike,Angel Martínez called out on strikes.,,strikeout
746579,40,595978,hit_into_play,Austin Hedges flies out to left fielder Manuel Margot.,field_out,field_out
746579,39,677587,ball,Brayan Rocchio walks.,,walk
746579,31,678877,swinging_strike_blocked,Jhonkensy Noel flies out to right fielder Matt Wallner.,,field_out
746579,30,665926,called_strike,Andrés Giménez doubles (21) on a ground ball to center fielder Byron Buxton.,,double
746579,29,657041,called_strike,Lane Thomas called out on strikes.,,strikeout
746579,28,647304,called_strike,Josh Naylor strikes out swinging.,,strikeout
746579,23,608070,ball,"José Ramírez grounds into a double play, first baseman Carlos Santana to shortstop Willi Castro to pitcher Simeon Woods Richardson.   Kyle Manzardo out at 2nd.    José Ramírez out at 1st.",,grounded_into_double_play
746579,22,700932,called_strike,Kyle Manzardo singles on a line drive to right fielder Matt Wallner.,,single
746579,21,682657,foul,Angel Martínez strikes out swinging.,,strikeout
746579,17,595978,foul,Austin Hedges lines out to left fielder Manuel Margot.,,field_out
746579,16,677587,ball,Brayan Rocchio singles on a line drive to left fielder Manuel Margot.   Lane Thomas to 2nd.,,single
746579,15,678877,called_strike,Jhonkensy Noel strikes out swinging.,,strikeout
746579,14,665926,foul,Andrés Giménez strikes out swinging.,,strikeout
746579,13,657041,foul_tip,Lane Thomas singles on a ground ball to shortstop Willi Castro.,,single
746579,8,647304,ball,Josh Naylor grounds out to first baseman Carlos Santana.,,field_out
746579,7,608070,foul_tip,José Ramírez pops out to shortstop Willi Castro.,,field_out
746579,6,700932,called_strike,Kyle Manzardo homers (4) on a fly ball to right field.,,home_run
746579,5,682657,called_strike,Angel Martínez pops out to first baseman Carlos Santana.,,field_out
746582,77,677587,foul,Brayan Rocchio singles on a ground ball to right fielder Matt Wallner.   Andrés Giménez scores.    Will Brennan to 2nd.,,single
746582,76,666310,ball,Bo Naylor strikes out swinging.,,strikeout
746582,75,686823,called_strike,Will Brennan singles on a line drive to right fielder Matt Wallner.   Myles Straw scores.    Andrés Giménez to 3rd.,,single
746582,74,665926,ball,Andrés Giménez walks.   Myles Straw to 2nd.,,walk
746582,73,700932,foul,Kyle Manzardo singles on a ground ball to center fielder Willi Castro.   Josh Naylor scores.,,single
746582,67,647304,ball,Josh Naylor strikes out swinging.,,strikeout
746582,66,608070,ball,"José Ramírez grounds out, first baseman Carlos Santana to pitcher Jhoan Duran.",,field_out
