game_pk,at_bat_number,batter,description,des,first_pitch_events,events
746586,14,Bo Naylor,swinging_strike,Bo Naylor lines out to center fielder Jose Siri.,,field_out
746586,12,Kyle Manzardo,hit_into_play,Kyle Manzardo flies out to left fielder Christopher Morel.,field_out,field_out
746586,11,Lane Thomas,swinging_strike,Lane Thomas lines out sharply to center fielder Jose Siri.,,field_out
746586,5,Andres Gimenez,swinging_strike,Andrés Giménez grounds out to first baseman Jonathan Aranda.,,field_out
746591,74,Tyler Freeman,hit_into_play,"Tyler Freeman grounds out, third baseman Junior Caminero to first baseman Jonathan Aranda.",field_out,field_out
746591,72,David Fry,foul,"David Fry grounds out, third baseman Junior Caminero to first baseman Jonathan Aranda.",,field_out
746591,67,Lane Thomas,swinging_strike,Lane Thomas strikes out swinging.,,strikeout
746591,66,Josh Naylor,hit_into_play,Josh Naylor singles on a sharp line drive to right fielder Jonny DeLuca.,single,single
746591,56,Bo Naylor,foul,Bo Naylor flies out to left fielder Josh Lowe.,,field_out
746591,55,Jhonkensy Noel,foul,Jhonkensy Noel flies out to right fielder Jonny DeLuca.,,field_out
746591,49,Lane Thomas,swinging_strike,Lane Thomas strikes out swinging.,,strikeout
746591,42,Jose Ramirez,foul,José Ramírez pops out to catcher Ben Rortvedt in foul territory.,,field_out
746591,41,Andres Gimenez,swinging_strike,"Andrés Giménez grounds into a force out, second baseman Jonathan Aranda to shortstop José Caballero.   Steven Kwan out at 2nd.    Andrés Giménez to 1st.",,force_out
746591,27,Kyle Manzardo,foul,Kyle Manzardo strikes out swinging.,,strikeout
746591,20,Andres Gimenez,hit_into_play,"Andrés Giménez singles on a ground ball to right fielder Josh Lowe.   Brayan Rocchio scores.    Steven Kwan to 3rd.    Andrés Giménez to 2nd.  Andrés Giménez advances to 2nd, on a throwing error by right fielder Josh Lowe.",single,single
746591,17,Bo Naylor,foul,Bo Naylor grounds out to first baseman Yandy Díaz.,,field_out
746591,16,Will Brennan,foul,"Will Brennan grounds out, second baseman Jonathan Aranda to first baseman Yandy Díaz.",,field_out
746591,10,Lane Thomas,hit_into_play,Lane Thomas doubles (25) on a line drive to left fielder Christopher Morel.   José Ramírez scores.    Josh Naylor to 3rd.,double,double
746591,8,Jose Ramirez,hit_into_play,José Ramírez singles on a sharp ground ball to center fielder Jonny DeLuca.   Steven Kwan to 3rd.,single,single
746745,75,Andres Gimenez,swinging_strike,Andrés Giménez flies out to right fielder Dominic Fletcher.,,field_out
746745,74,Steven Kwan,swinging_strike,Steven Kwan singles on a ground ball to right fielder Dominic Fletcher.,,single
746745,73,Austin Hedges,swinging_strike,Austin Hedges flies out to center fielder Luis Robert Jr.,,field_out
746745,68,Will Brennan,hit_into_play,Will Brennan grounds out to first baseman Andrew Vaughn.   Lane Thomas scores.    Tyler Freeman to 2nd.,field_out,field_out
746745,67,Kyle Manzardo,hit_into_play,Kyle Manzardo singles on a sharp line drive to right fielder Dominic Fletcher.   Lane Thomas to 3rd.,single,single
746745,66,Lane Thomas,hit_into_play,Lane Thomas singles on a ground ball to center fielder Luis Robert Jr.,single,single
746745,65,Josh Naylor,swinging_strike,Josh Naylor strikes out swinging.,,strikeout
746745,61,Jose Ramirez,swinging_strike,José Ramírez flies out to right fielder Dominic Fletcher.,,field_out
746745,45,Lane Thomas,foul,Lane Thomas pops out to first baseman Andrew Vaughn in foul territory.,,field_out
746745,44,Josh Naylor,foul,Josh Naylor strikes out swinging.,,strikeout
746745,23,Josh Naylor,swinging_strike,Josh Naylor pops out to first baseman Andrew Vaughn in foul territory.,,field_out
746745,22,Jose Ramirez,foul,José Ramírez grounds out to first baseman Andrew Vaughn.   Steven Kwan to 3rd.    Andrés Giménez to 2nd.,,field_out
746745,12,Jhonkensy Noel,swinging_strike,Jhonkensy Noel strikes out swinging.,,strikeout
746745,11,Kyle Manzardo,foul,Kyle Manzardo strikes out swinging.,,strikeout
746745,4,Josh Naylor,foul,Josh Naylor flies out sharply to center fielder Luis Robert Jr.  Steven Kwan to 3rd.,,field_out
746745,2,Andres Gimenez,foul_bunt,Andrés Giménez strikes out swinging.,,strikeout
746747,68,Steven Kwan,hit_into_play,Steven Kwan singles on a line drive to left fielder Andrew Benintendi.,single,single
746747,59,Josh Naylor,hit_into_play,Josh Naylor doubles (25) on a sharp line drive to right fielder Dominic Fletcher.,double,double
746747,50,Bryan Rocchio,foul,Brayan Rocchio flies out to center fielder Luis Robert Jr.,,field_out
746747,43,Kyle Manzardo,foul,Kyle Manzardo strikes out swinging.,,strikeout
746747,41,Josh Naylor,hit_into_play,Josh Naylor singles on a line drive to center fielder Luis Robert Jr.  José Ramírez to 2nd.,single,single
746747,32,Bo Naylor,hit_into_play,Bo Naylor lines out to right fielder Dominic Fletcher.,field_out,field_out
746747,18,Andres Gimenez,foul,"Andrés Giménez grounds out, second baseman Nicky Lopez to first baseman Gavin Sheets.",,field_out
746747,9,Kyle Manzardo,foul,Kyle Manzardo singles on a line drive to right fielder Dominic Fletcher.   Lane Thomas scores.,,single
746747,8,Lane Thomas,hit_into_play,Lane Thomas doubles (24) on a ground ball to left fielder Andrew Benintendi.,double,double
746746,69,Lane Thomas,swinging_strike,Lane Thomas strikes out swinging.,,strikeout
746746,68,Josh Naylor,foul,"Josh Naylor grounds out, second baseman Lenyn Sosa to first baseman Andrew Vaughn.   José Ramírez to 3rd.",,field_out
746746,44,David Fry,hit_into_play,"David Fry grounds into a double play, third baseman Miguel Vargas to catcher Korey Lee to first baseman Andrew Vaughn.   Bo Naylor out at home.    Brayan Rocchio to 3rd.    Steven Kwan to 2nd.    David Fry out at 1st.",grounded_into_double_play,grounded_into_double_play
746746,34,Josh Naylor,foul,Josh Naylor strikes out swinging.,,strikeout
746746,33,Jose Ramirez,foul,José Ramírez walks.   Steven Kwan to 3rd.    David Fry to 2nd.,,walk
746746,27,Bryan Rocchio,swinging_strike,Brayan Rocchio lines out to right fielder Corey Julks.,,field_out
746746,25,Andres Gimenez,hit_into_play,"Andrés Giménez grounds out softly, shortstop Jacob Amaya to first baseman Andrew Vaughn.",field_out,field_out
746746,24,Jhonkensy Noel,foul_tip,Jhonkensy Noel flies out to shortstop Jacob Amaya.,,field_out
746746,20,Lane Thomas,foul,Lane Thomas called out on strikes.,,strikeout
746746,19,Josh Naylor,hit_into_play,Josh Naylor doubles (24) on a sharp line drive to left fielder Andrew Benintendi.,double,double
746746,18,Jose Ramirez,foul,José Ramírez pops out to shortstop Jacob Amaya.,,field_out
746746,12,Bryan Rocchio,foul,Brayan Rocchio strikes out swinging.,,strikeout
746746,11,Bo Naylor,foul,Bo Naylor strikes out swinging.,,strikeout
746746,6,Jhonkensy Noel,swinging_strike,Jhonkensy Noel strikes out swinging.,,strikeout
746746,5,Lane Thomas,foul,Lane Thomas doubles (23) on a sharp line drive to left fielder Andrew Benintendi.   Josh Naylor scores.    Lane Thomas to 3rd.,,double
746746,4,Josh Naylor,foul,Josh Naylor singles on a fly ball to left fielder Andrew Benintendi.   Steven Kwan scores.,,single
746098,56,Bo Naylor,foul,Bo Naylor flies out to center fielder Kevin Kiermaier.,,field_out
746098,54,Daniel Schneemann,hit_into_play,"Daniel Schneemann grounds out, shortstop Tommy Edman to first baseman Freddie Freeman.",field_out,field_out
746098,42,Andres Gimenez,swinging_strike,Andrés Giménez flies out to left fielder Andy Pages.,,field_out
746098,35,Bo Naylor,swinging_strike,Bo Naylor strikes out swinging.,,strikeout
746098,25,Lane Thomas,foul,Lane Thomas strikes out swinging.,,strikeout
746098,15,Bo Naylor,hit_into_play,"Bo Naylor grounds out, shortstop Tommy Edman to first baseman Freddie Freeman.",field_out,field_out
746098,9,Daniel Schneemann,swinging_strike,"Daniel Schneemann grounds out, pitcher Jack Flaherty to first baseman Freddie Freeman.",,field_out
746098,3,Jose Ramirez,foul,José Ramírez flies out to shortstop Tommy Edman.,,field_out
